schema_table,col_name,col_type
area,subcity_name,STRING
area,area_name,STRING
area,area_id,STRING
area,geohash,STRING
area,city_id,STRING
city,latitude,DOUBLE
city,windows_time_zone,STRING
city,territory,STRING
city,is_capital,BOOLEAN
city,city_code,STRING
city,region,STRING
city,longitude,DOUBLE
city,created_at,TIMESTAMP
city,city_name,STRING
city,id,STRING
city,updated_at,TIMESTAMP
city,country_id,STRING
city,parent_city_id,STRING
city,enable_tip,BOOLEAN
city,time_zone,STRING
enterprise_metrics,order_id,STRING
enterprise_metrics,date_id,STRING
enterprise_metrics,booking_code,STRING
enterprise_metrics,booking_channel,STRING
enterprise_metrics,last_group_id,STRING
enterprise_metrics,array_enterprise_reward_id,STRING
enterprise_metrics,product,STRING
booking,booking_id,STRING
booking,city_id,STRING
booking,commission_rate,DOUBLE
booking,earning_adjustment_commission_rate,DOUBLE
booking,tax,DOUBLE
booking,fees,DOUBLE
booking,booking_broadcast_time,TIMESTAMP
booking,receipt_payment_type,STRING
booking,confirm_time,TIMESTAMP
booking,date_id,STRING
booking,reward_id,BIGINT
booking,status,STRING
booking,enable_tip,BOOLEAN
generic_metrics,driver_longitude,DOUBLE
generic_metrics,payment_type_id,STRING
generic_metrics,confirm_time,TIMESTAMP
generic_metrics,ignored_candidates,STRING
generic_metrics,enterprise_campaign_code,STRING
generic_metrics,cancel_types_used,STRING
generic_metrics,is_soft_allocated,BOOLEAN
generic_metrics,ar_denominator,STRING
generic_metrics,actual_distance_of_trip,DOUBLE
generic_metrics,sender_type,STRING
generic_metrics,cancellation_fees,DOUBLE
generic_metrics,city_id,STRING
generic_metrics,created_at_utc,TIMESTAMP
orders,merchant_order_id,STRING
orders,total_cancels_for_order,BIGINT
orders,pickup_time_to,TIMESTAMP
orders,dropoff_longitude,DOUBLE
orders,is_gpc,BOOLEAN
orders,user_type,STRING
orders,regular_delivery_provider,STRING
orders,city_id,STRING
orders,updated_at,TIMESTAMP
orders,first_allocation_timestamp,TIMESTAMP
orders,cancelled_time,TIMESTAMP
orders,cancel_types_used,STRING
orders,pending_dropoff_time,TIMESTAMP
orders,cod_type,STRING
